anio,sexo,via,continente,rango_edad,total
2025,Hombre,Vía terrestre,Asia,25-39,216
2025,Hombre,Vía Aérea,África,25-39,200
2025,Hombre,Vía terrestre,Asia,<25,196
2025,Hombre,Vía Marítimo,América,40-59,169
2025,Hombre,Vía terrestre,Oceanía,25-39,162
2025,Hombre,Vía fluvial,América,40-59,153
2025,Hombre,Vía Aérea,África,40-59,152
2025,Mujer,Vía fluvial,América,25-39,131
2025,Hombre,Vía terrestre,Asia,40-59,130
2025,Mujer,Vía Marítimo,Europa,40-59,123
2025,Mujer,Vía terrestre,Asia,25-39,119
2025,Mujer,Vía fluvial,América,40-59,117
2025,Mujer,Vía Marítimo,Europa,25-39,117
2025,Hombre,Vía fluvial,América,25-39,115
2025,Mujer,Vía Marítimo,América,40-59,109
2025,Mujer,Vía terrestre,Oceanía,25-39,103
2025,Hombre,Vía Marítimo,América,25-39,103
2025,Mujer,Vía Aérea,África,25-39,102
2025,Mujer,Vía terrestre,Asia,<25,100
2025,Mujer,Vía terrestre,Asia,40-59,87
2025,Hombre,Vía terrestre,Asia,60+,83
2025,Mujer,Vía Aérea,África,40-59,72
2025,Hombre,Vía Aérea,África,60+,71
2025,Hombre,Vía Marítimo,Europa,<25,70
2025,Hombre,Vía fluvial,América,60+,68
2025,Hombre,Vía fluvial,América,<25,68
2025,Hombre,Vía terrestre,Oceanía,<25,63
2025,Hombre,Vía Marítimo,Asia,<25,60
2025,Mujer,Vía terrestre,Asia,60+,60
2025,Mujer,Vía fluvial,América,<25,58
2025,Hombre,Vía terrestre,Oceanía,40-59,54
2025,Mujer,Vía fluvial,América,60+,54
2025,Hombre,Vía Aérea,África,<25,53
2025,Mujer,Vía terrestre,Oceanía,<25,49
2025,Hombre,Vía fluvial,Europa,25-39,48
2025,Mujer,Vía Aérea,África,60+,45
2025,Hombre,Vía Marítimo,África,25-39,45
2025,Mujer,Vía Marítimo,América,25-39,42
2025,Hombre,Vía terrestre,Oceanía,60+,42
2025,Mujer,Vía Marítimo,Europa,<25,42
2025,Mujer,Vía fluvial,Europa,25-39,38
2025,Hombre,Vía Marítimo,América,<25,35
2025,Mujer,Vía Aérea,África,<25,32
2025,Indefinido,Vía Aérea,América,<25,30
2025,Mujer,Vía Marítimo,África,25-39,29
2025,Hombre,Vía Marítimo,Oceanía,60+,29
2025,Mujer,Vía Marítimo,América,<25,28
2025,Mujer,Vía terrestre,Oceanía,40-59,28
2025,Hombre,Vía Marítimo,Oceanía,25-39,27
2025,Mujer,Vía Marítimo,Oceanía,60+,26
2025,Indefinido,Vía Aérea,América,25-39,25
2025,Hombre,Vía fluvial,Europa,<25,24
2025,Mujer,Vía Marítimo,Oceanía,25-39,23
2025,Hombre,Vía Marítimo,África,<25,23
2025,Hombre,Vía Marítimo,Asia,60+,21
2025,Hombre,Vía terrestre,África,25-39,19
2025,Hombre,Vía Marítimo,Oceanía,40-59,16
2025,Mujer,Vía fluvial,Europa,<25,13
2025,Hombre,Vía Marítimo,África,40-59,10
2025,Mujer,Vía terrestre,Oceanía,60+,10
2025,Indefinido,Vía Aérea,América,40-59,9
2025,Indefinido,Vía terrestre,América,25-39,8
2025,Indefinido,Vía terrestre,América,40-59,8
2025,Mujer,Vía Marítimo,Asia,25-39,8
2025,Indefinido,Vía terrestre,América,<25,8
2025,Indefinido,Vía Aérea,América,60+,8
2025,Mujer,Vía Marítimo,Oceanía,40-59,7
2025,Hombre,Vía fluvial,Europa,40-59,7
2025,Mujer,Vía Marítimo,Oceanía,<25,7
2025,Mujer,Vía Marítimo,Asia,40-59,7
2025,Mujer,Vía Marítimo,África,<25,7
2025,Hombre,Vía Marítimo,Oceanía,<25,7
2025,Indefinido,Vía Aérea,Europa,25-39,6
2025,Hombre,Vía terrestre,África,40-59,6
2025,Indefinido,Vía Aérea,Europa,60+,5
2025,Mujer,Vía terrestre,África,25-39,5
2025,Hombre,Vía fluvial,Europa,60+,4
2025,Mujer,Vía fluvial,Europa,40-59,4
2025,Mujer,Vía terrestre,África,40-59,3
2025,Mujer,Vía Marítimo,África,40-59,3
2025,Hombre,Vía terrestre,África,<25,3
2025,Indefinido,Vía terrestre,América,60+,3
2025,Indefinido,Vía terrestre,Europa,25-39,3
2025,Hombre,Vía fluvial,Oceanía,40-59,2
2025,Mujer,Vía Marítimo,África,60+,2
2025,Indefinido,Vía Aérea,Europa,40-59,2
2025,Indefinido,Vía Aérea,Asia,40-59,2
2025,Indefinido,Vía terrestre,Europa,60+,2
2025,Hombre,Vía fluvial,Oceanía,<25,2
2025,Mujer,Vía terrestre,África,<25,2
2025,Mujer,Vía Marítimo,Asia,60+,2
2025,Hombre,Vía fluvial,Asia,25-39,2
2025,Hombre,Vía terrestre,África,60+,2
2025,Mujer,Vía fluvial,Europa,60+,2
2025,Hombre,Vía fluvial,Asia,<25,1
2025,Indefinido,Vía Aérea,Asia,25-39,1
2025,Hombre,Vía fluvial,Oceanía,25-39,1
2025,Indefinido,Vía Aérea,Europa,<25,1
2025,Hombre,Vía Marítimo,África,60+,1
2025,Hombre,Vía fluvial,Asia,40-59,1
