secuencial,tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,subcont_nac,cont_nac,via_tran,mot_viam,pais_prod,subcont_prod,cont_prod,lug_prod,pais_res,subcont_res,cont_res,jef_migr,pro_jefm,can_jefm,cla_migr,ocu_migr,edad
40808629,Salida,Ecuatoriano,2023,Abril,4,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Panamá,América Central,América,Panamá City,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Estudiantes,19
76183191,Salida,Ecuatoriano,2023,Julio,23,Mujer,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Chicago Illinois,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Jubilados y pensionistas,84
105607410,Entrada,Extranjero,2023,Octubre,21,Mujer,Noruega,Europa Septentrional,Europa,Vía Aérea,Turismo,Noruega,Europa Septentrional,Europa,Oslo,Noruega,Europa Septentrional,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Jubilados y pensionistas,65
70454529,Entrada,Extranjero,2023,Julio,2,Hombre,España,Europa Meridional,Europa,Vía Aérea,Turismo,España,Europa Meridional,Europa,Madrid,España,Europa Meridional,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,13
62058619,Entrada,Extranjero,2023,Junio,26,Hombre,Argentina,América del Sur,América,Vía Aérea,Turismo,Argentina,América del Sur,América,Buenos Aires,Argentina,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Atletas y deportistas,30
113590872,Salida,Ecuatoriano,2023,Noviembre,11,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,México,América Central,América,Cancun,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Economistas,42
33218828,Entrada,Extranjero,2023,Marzo,29,Mujer,Estados Unidos de América,América del Septentrional,América,Vía terrestre,Turismo,Colombia,América del Sur,América,Pasto,Ecuador,América del Sur,América,Centro Nacional de Atención Fronteriza Rumichaca,Carchi,Tulcán,No inmigrante RT-AMP,Auxiliares laicos de las religiones,39
70811689,Salida,Ecuatoriano,2023,Julio,18,Mujer,Ecuador,América del Sur,América,Vía Aérea,Turismo,Nicaragua,América Central,América,Managua,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Estudiantes,19
84534260,Salida,Ecuatoriano,2023,Agosto,22,Mujer,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Newark New Jersey,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Personal de apoyo administrativo no clasificado bajo otros epigrafes,51
55362434,Entrada,Extranjero,2023,Mayo,1,Hombre,Brasil,América del Sur,América,Vía terrestre,Turismo,Perú,América del Sur,América,Tumbes,Brasil,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,No inmigrante T-3,Abogados,61
104229808,Entrada,Extranjero,2023,Octubre,31,Hombre,Colombia,América del Sur,América,Vía terrestre,Turismo,Colombia,América del Sur,América,Pasto,Colombia,América del Sur,América,Centro Nacional de Atención Fronteriza Rumichaca,Carchi,Tulcán,No inmigrante T-3,Comerciantes de tiendas,48
101765982,Entrada,Extranjero,2023,Octubre,5,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Estudiantes,28
110483214,Salida,Ecuatoriano,2023,Noviembre,18,Mujer,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Orlando Florida,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,13
